SAS_ID	PROJECT	PREDDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	PREDECESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	FREQ_RES	TIME_RES	CHANNEL_WIDTH	CLOCK	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	DEMIXING
239550	LC2_034	416924	416924	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0020873216	2.7738216666699998E+002	4.87463888889E+001	0	48828.124992	10.0139	3051.757812	200	88	88	HBA Dual Inner	34	0	364	1
239552	LC2_034	416927	416927	Beam Observation - 110-190 MHz	CasaStorageManagers	0.01878837248	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	363	1
239554	LC2_034	416927	416927	Beam Observation - 110-190 MHz	CasaStorageManagers	0.00533095424	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	103	1
239556	LC2_034	416932	416932	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0020873216	2.7738216666699998E+002	4.87463888889E+001	0	48828.124992	10.0139	3051.757812	200	88	88	HBA Dual Inner	34	0	364	1
239558	LC2_034	416935	416935	Beam Observation - 110-190 MHz	CasaStorageManagers	0.01894373376	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	366	1
239560	LC2_034	416935	416935	Beam Observation - 110-190 MHz	CasaStorageManagers	0.00538252288	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	104	1
239562	LC2_034	416940	416940	Beam Observation - 110-190 MHz	CasaStorageManagers	0.002093056	2.7738216666699998E+002	4.87463888889E+001	0	48828.124992	10.0139	3051.757812	200	88	88	HBA Dual Inner	34	0	365	1
239564	LC2_034	416943	416943	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0188907008	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	365	1
239566	LC2_034	416943	416943	Beam Observation - 110-190 MHz	CasaStorageManagers	0.00527880192	2.8879812500000003E+002,2.8795654166700001E+002	1.0962444444400001E+001,4.9994166666700002E+000	0,1	48828.124992	10.0139	3051.757812	200	1199	1199	HBA Dual Inner	34	0	102	1
239568	LC2_034	416948	416948	Beam Observation - 110-190 MHz	CasaStorageManagers	0.0020873216	2.7738216666699998E+002	4.87463888889E+001	0	48828.124992	10.0139	3051.757812	200	88	88	HBA Dual Inner	34	0	364	1
