MOM_ID	SAS_ID	PROJECT	PREDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	STORAGE_MANAGER	SPACE_USED	CHANNELWIDTH	MAX_EXPOSURE	MIN_EXPOSURE	NR_CORRELATED
519717	343384	LC4_014	519706	346390	CasaStorageManagers	0.18351740928	97656.25	21599.0	21599.0	48
519719	343388	LC4_014	519707	346388	CasaStorageManagers	0.18351741952	97656.25	21599.0	21599.0	48
519721	343392	LC4_014	519708	346386	CasaStorageManagers	0.18351729664	97656.25	21599.0	21599.0	48
519723	343396	LC4_014	519709	346384	CasaStorageManagers	0.1835172864	97656.25	21599.0	21599.0	48
519725	343400	LC4_014	519710	346382	CasaStorageManagers	0.18351752192	97656.25	21599.0	21599.0	48
519727	343404	LC4_014	519711	346380	CasaStorageManagers	0.1835173888	97656.25	21599.0	21599.0	48
519729	343408	LC4_014	519712	346186	CasaStorageManagers	0.1835173376	97656.25	21599.0	21599.0	48
519731	343412	LC4_014	519713	346184	CasaStorageManagers	0.18351747072	97656.25	21599.0	21599.0	48
519733	343416	LC4_014	519714	346182	CasaStorageManagers	0.18351727616	97656.25	21599.0	21599.0	48
522017	344586	LC4_014	522006	346128	CasaStorageManagers	0.18896785408	97656.25	21599.0	21599.0	48
522019	344590	LC4_014	522007	346166	CasaStorageManagers	0.18896900096	97656.25	21599.0	21599.0	48
522021	344594	LC4_014	522008	346168	CasaStorageManagers	0.18896794624	97656.25	21599.0	21599.0	48
522023	344598	LC4_014	522009	346180	CasaStorageManagers	0.1889677824	97656.25	21599.0	21599.0	48
522025	344602	LC4_014	522010	346178	CasaStorageManagers	0.1889690112	97656.25	21599.0	21599.0	48
522027	344606	LC4_014	522011	346176	CasaStorageManagers	0.18897215488	97656.25	21599.0	21599.0	48
522029	344610	LC4_014	522012	346174	CasaStorageManagers	0.18897183744	97656.25	21599.0	21599.0	48
522031	344614	LC4_014	522013	346286	CasaStorageManagers	0.18897202176	97656.25	21599.0	21599.0	48
522033	344618	LC4_014	522014	346170	CasaStorageManagers	0.1889715712	97656.25	21599.0	21599.0	48
530105	350856	LC4_007	530048	350742	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530107	350860	LC4_007	530049	350744	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530109	350864	LC4_007	530050	350746	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530111	350868	LC4_007	530051	350748	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530113	400903	LC4_007	530052	350750	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530115	350876	LC4_007	530053	350752	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530117	350880	LC4_007	530054	350754	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530119	400895	LC4_007	530055	350756	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530121	350888	LC4_007	530056	350758	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530123	350892	LC4_007	530057	350760	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530125	400885	LC4_007	530058	350762	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530127	387727	LC4_007	530059	350764	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530129	400879	LC4_007	530060	350766	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530131	400875	LC4_007	530061	350768	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530133	400853	LC4_007	530062	350770	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530135	400869	LC4_007	530063	350772	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530137	400865	LC4_007	530064	350774	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530139	400861	LC4_007	530065	350776	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530141	400857	LC4_007	530066	350778	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530143	400851	LC4_007	530067	350780	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530145	387691	LC4_007	530068	350782	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530147	387687	LC4_007	530069	350784	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530149	400843	LC4_007	530070	350786	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530151	400839	LC4_007	530071	350788	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530153	400835	LC4_007	530072	350790	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530155	400831	LC4_007	530073	350792	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530157	400827	LC4_007	530074	350794	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530159	400823	LC4_007	530075	350796	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530161	350968	LC4_007	530076	350798	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530163	350972	LC4_007	530077	350800	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530165	350976	LC4_007	530078	350802	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530167	350980	LC4_007	530079	350804	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530169	350984	LC4_007	530080	350806	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530171	400811	LC4_007	530081	350808	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530173	350992	LC4_007	530082	350810	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530175	350996	LC4_007	530083	350812	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530177	351000	LC4_007	530084	350814	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530179	351004	LC4_007	530085	350816	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530181	351008	LC4_007	530086	350818	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530183	351012	LC4_007	530087	350820	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530185	351016	LC4_007	530088	350822	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530187	351020	LC4_007	530089	350824	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530189	351024	LC4_007	530090	350826	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
530191	351028	LC4_007	530091	350828	CasaStorageManagers	0.0020488192	48828.125	1802.0	1802.0	8
