MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset [HR]
421275	242258	LC2_041	Beam Observation - 10-90 MHz				LofarStorageManager	1,67660716	9,4181666666699996E+001,3,6765833333300002E+001,1,2340000000000001E+002	2,2543611111099999E+001,6,1873722222200001E+001,4,8217500000000001E+001	0,1,2	0,762939453125	200	1,6633	14399	0	LBA Outer	33	0	24	0,4359178617	1799,875	10439,275	11,99916667
421281	242256	LC2_041	Beam Observation - 10-90 MHz				LofarStorageManager	4,90219348	3,4407333333299999E+002,3,0965162500000002E+002,3,4843900000000002E+002,2,9072500000000002E+002,2,9090625E+002,2,8325E+002,2,1283529166700001E+002	6,2028916666699999E+001,4,2626305555599998E+001,6,1469555555600003E+001,1,42611111111E+001,1,45019166667E+001,6,5000000000000002E-001,5,2202638888899997E+001	0,1,2,3,4,5,6	0,762939453125	200	1,6633	14399	0	LBA Outer	37	0	56	1,274570305	1799,875	10439,275	27,99805556
436676	246729	LT2_001	Beam Observation - 210-250 MHz				LofarStorageManager	0,91744256	1,2340020833299999E+002	4,8217305555599999E+001	0	0,0	200	1,139	14399	0	HBA Joined	37	0	100	0,2385350656	1799,875	10439,275	289,9798611
436685	246733	LT2_001	Beam Observation - 210-250 MHz				LofarStorageManager	0,91744256	1,2340020833299999E+002	4,8217305555599999E+001	0	0,0	200	1,139	14399	0	HBA Joined	37	0	100	0,2385350656	1799,875	10439,275	289,9798611
436663	246735	LT2_001	Beam Observation - 210-250 MHz				LofarStorageManager	0,86928384	1,2340020833299999E+002	4,8217305555599999E+001	0	0,0	200	1,139	14399	0	HBA Joined	36	0	100	0,2260137984	1799,875	10439,275	289,9798611
436672	246739	LT2_001	Beam Observation - 210-250 MHz				LofarStorageManager	0,86928384	1,2340020833299999E+002	4,8217305555599999E+001	0	0,0	200	1,139	14399	0	HBA Joined	36	0	100	0,2260137984	1799,875	10439,275	289,9798611
398646	249916	LC2_017	Beam Observation - 10-90 MHz				LofarStorageManager	101,3113898	3,56391666667E+001,2,4422083333300002E+001	4,23491666667E+001,3,3159722222200003E+001	0,1	0,0	200	1,6633	14399	0	LBA Outer	38	0	488	26,34096135	1799,875	10439,275	243,9830556
445901	251014	LT2_001	Beam Observation - 210-250 MHz				LofarStorageManager	0,96712704	1,2340020833299999E+002	4,8217305555599999E+001	0	0,0	200	1,139	14399	0	HBA Joined	38	0	100	0,2514530304	1799,875	10439,275	289,9798611
445910	251018	LT2_001	Beam Observation - 210-250 MHz				LofarStorageManager	0,96712704	1,2340020833299999E+002	4,8217305555599999E+001	0	0,0	200	1,139	14399	0	HBA Joined	38	0	100	0,2514530304	1799,875	10439,275	289,9798611
445988	251290	LC3_001	Beam Observation - 110-190 MHz				LofarStorageManager	0,235855319	2,4422083333300002E+001	3,3159722222200003E+001	0	0,0	200	1,139	14399	0	HBA Dual Inner	46	8	366	0,06132238295	1799,875	10439,275	1061,326292
445991	251292	LC3_001	Beam Observation - 110-190 MHz				LofarStorageManager	71,16055333	1,0684583333300001E+001	4,1269166666700002E+001	0	0,0	200	1,139	14399	0	HBA Dual Inner	46	8	366	18,50174387	1799,875	10439,275	1061,326292
445994	251294	LC3_001	Beam Observation - 110-190 MHz				LofarStorageManager	0,235855319	2,4422083333300002E+001	3,3159722222200003E+001	0	0,0	200	1,139	14399	0	HBA Dual Inner	46	8	366	0,06132238295	1799,875	10439,275	1061,326292
449471	253112	LC3_001	Beam Observation - 210-250 MHz				LofarStorageManager	0,8206811136	2,4422083333300002E+001	3,3159722222200003E+001	0	0,0	200	1,139	14399	0	HBA Dual Inner	38	0	162	0,2133770895	1799,875	10439,275	469,767375
449474	253114	LC3_001	Beam Observation - 210-250 MHz				LofarStorageManager	77,97833017	1,0684583333300001E+001,1,125E+001,1,025E+001	4,1269166666700002E+001,4,1833305555599999E+001,4,0766694444400002E+001	0,1,2	0,0	200	1,139	14399	0	HBA Dual Inner	38	0	486	20,27436585	1799,875	10439,275	1409,302125
449479	253116	LC3_001	Beam Observation - 210-250 MHz				LofarStorageManager	0,8206811136	2,4422083333300002E+001	3,3159722222200003E+001	0	0,0	200	1,139	14399	0	HBA Dual Inner	38	0	162	0,2133770895	1799,875	10439,275	469,767375
455623	258441	LC3_027	Beam Observation - 110-190 MHz				LofarStorageManager	0,7031594394	2,7738249999999999E+002	4,8746111111099999E+001	0	0,0	200	1,139	14399	0	HBA Dual	46	8	217	0,1828214542	1799,875	10439,275	629,2562986
455626	258443	LC3_027	Beam Observation - 110-190 MHz				LofarStorageManager	18,27600837	3,3081237499999997E+002	3,1760611111100001E+001	0	0,0	200	1,139	14399	0	HBA Dual	46	8	217	4,751762175	1799,875	10439,275	629,2562986
455632	258445	LC3_027	Beam Observation - 110-190 MHz				LofarStorageManager	0,702196777	2,4422083333300002E+001	3,3159722222200003E+001	0	0,0	200	1,139	14399	0	HBA Dual	46	8	217	0,182571162	1799,875	10439,275	629,2562986
