MOM_ID	SAS_ID	PROJECT	PREDECESSOR_MOM_ID	PREDECESSOR_SAS_ID	STORAGE_MANAGER	SPACE_USED	CHANNELWIDTH	MAX_EXPOSURE	MIN_EXPOSURE	NR_CORRELATED
519718	343386	LC4_014	519717	343384	CasaStorageManagers	0.35517185024	97656.25	21599.0	21599.0	48
519720	343390	LC4_014	519719	343388	CasaStorageManagers	0.3551718912	97656.25	21599.0	21599.0	48
519722	343394	LC4_014	519721	343392	CasaStorageManagers	0.35517175808	97656.25	21599.0	21599.0	48
519724	343398	LC4_014	519723	343396	CasaStorageManagers	0.35517172736	97656.25	21599.0	21599.0	48
519726	343402	LC4_014	519725	343400	CasaStorageManagers	0.3551719936	97656.25	21599.0	21599.0	48
519728	343406	LC4_014	519727	343404	CasaStorageManagers	0.35517186048	97656.25	21599.0	21599.0	48
519730	343410	LC4_014	519729	343408	CasaStorageManagers	0.35517177856	97656.25	21599.0	21599.0	48
519732	343414	LC4_014	519731	343412	CasaStorageManagers	0.35517193216	97656.25	21599.0	21599.0	48
519734	343418	LC4_014	519733	343416	CasaStorageManagers	0.35517170688	97656.25	21599.0	21599.0	48
522018	344588	LC4_014	522017	344586	CasaStorageManagers	0.3655469568	97656.25	21599.0	21599.0	48
522020	344592	LC4_014	522019	344590	CasaStorageManagers	0.36554810368	97656.25	21599.0	21599.0	48
522022	344596	LC4_014	522021	344594	CasaStorageManagers	0.3655470592	97656.25	21599.0	21599.0	48
522024	344600	LC4_014	522023	344598	CasaStorageManagers	0.36554688512	97656.25	21599.0	21599.0	48
522026	344604	LC4_014	522025	344602	CasaStorageManagers	0.36554809344	97656.25	21599.0	21599.0	48
522028	344608	LC4_014	522027	344606	CasaStorageManagers	0.3655513088	97656.25	21599.0	21599.0	48
522030	344612	LC4_014	522029	344610	CasaStorageManagers	0.3655510016	97656.25	21599.0	21599.0	48
522032	344616	LC4_014	522031	344614	CasaStorageManagers	0.36555119616	97656.25	21599.0	21599.0	48
522034	344620	LC4_014	522033	344618	CasaStorageManagers	0.36555075584	97656.25	21599.0	21599.0	48
530106	400909	LC4_007	530105	350856	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530108	400907	LC4_007	530107	350860	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530110	400889	LC4_007	530109	350864	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530112	400905	LC4_007	530111	350868	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530114	400901	LC4_007	530113	400903	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530116	400899	LC4_007	530115	350876	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530118	400897	LC4_007	530117	350880	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530120	400893	LC4_007	530119	400895	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530122	400891	LC4_007	530121	350888	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530124	400887	LC4_007	530123	350892	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530126	400883	LC4_007	530125	400885	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530128	400881	LC4_007	530127	387727	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530130	400877	LC4_007	530129	400879	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530132	400873	LC4_007	530131	400875	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530134	400871	LC4_007	530133	400853	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530136	400867	LC4_007	530135	400869	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530138	400863	LC4_007	530137	400865	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530140	400859	LC4_007	530139	400861	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530142	400855	LC4_007	530141	400857	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530144	400849	LC4_007	530143	400851	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530146	400847	LC4_007	530145	387691	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530148	400845	LC4_007	530147	387687	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530150	400841	LC4_007	530149	400843	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530152	400837	LC4_007	530151	400839	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530154	400833	LC4_007	530153	400835	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530156	400829	LC4_007	530155	400831	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530158	400825	LC4_007	530157	400827	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530160	400821	LC4_007	530159	400823	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530162	400819	LC4_007	530161	350968	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530164	400817	LC4_007	530163	350972	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530166	400797	LC4_007	530165	350976	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530168	400815	LC4_007	530167	350980	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530170	400813	LC4_007	530169	350984	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530172	400809	LC4_007	530171	400811	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530174	400807	LC4_007	530173	350992	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530176	400805	LC4_007	530175	350996	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530178	400803	LC4_007	530177	351000	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530180	400801	LC4_007	530179	351004	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530182	400799	LC4_007	530181	351008	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530184	400781	LC4_007	530183	351012	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530186	400779	LC4_007	530185	351016	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530188	400777	LC4_007	530187	351020	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530190	400795	LC4_007	530189	351024	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530192	400793	LC4_007	530191	351028	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530194	400791	LC4_007	530193	351032	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530196	400789	LC4_007	530195	351036	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530198	400787	LC4_007	530197	401301	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530200	400785	LC4_007	530199	401305	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530202	400783	LC4_007	530201	351048	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530204	400775	LC4_007	530203	351052	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530206	400773	LC4_007	530205	401019	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530208	400771	LC4_007	530207	351060	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530210	400769	LC4_007	530209	351064	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530212	400767	LC4_007	530211	351068	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
530214	400765	LC4_007	530213	351072	CasaStorageManagers	0.00392184832	48828.125	1802.0	1802.0	1
574733	367876	LC4_007	574732	367874	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574735	367880	LC4_007	574734	367878	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574737	367884	LC4_007	574736	367882	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574739	367888	LC4_007	574738	367886	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574741	367892	LC4_007	574740	367890	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574743	367896	LC4_007	574742	367894	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574745	367900	LC4_007	574744	367898	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574747	367904	LC4_007	574746	367902	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574749	367908	LC4_007	574748	367906	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
574751	367912	LC4_007	574750	367910	CasaStorageManagers	0.00428873728	48828.125	1802.0	1802.0	1
