MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset
416659	239688	LC2_036	Beam Observation - 10-90 MHz				LofarStorageManager	45,20282267	2.8207720833299999E+002,2.773824204E+002	-1.77E+000,4.8746155600000002E+001	0,1	0,0007629394531	200	1,006633	15299	15299	LBA Outer	37	0	488	16,27301616	1912,375	11091,775	259,2330556
421649	242260	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	1,737516114	2,13E+02	5,22E+01	0	0,0007629394531	200	2,013266	899	899	HBA Dual Inner	37	0	244	0,4517541896	179,8	629,3	42,65255556
421653	242262	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	59,06938579	2.8207720833299999E+002,2.8945291666700001E+002	-1.77E+000,6.3561111111099997E+000	0,1	0,0007629394531	200	2,013266	15298	15298	HBA Dual Inner	37	0	488	21,26497888	1912,25	11091,05	1503,453444
421659	242264	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	1,737516114	2,44E+01	3,32E+01	0	0,0007629394531	200	2,013266	899	899	HBA Dual Inner	37	0	244	0,4517541896	179,8	629,3	42,65255556
421896	242458	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	1,737516114	2,13E+02	5,22E+01	0	0	200	2,013266	899	899	HBA Dual Inner	37	0	244	0,4517541896	179,8	629,3	42,65255556
421900	242460	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	59,06909905	2.8207720833299999E+002,2.8945291666700001E+002	-1.77E+000,6.3561111111099997E+000	0,1	0	200	2,013266	15298	15298	HBA Dual Inner	37	0	488	21,26487566	1912,25	11091,05	1503,453444
421906	242462	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	1,737516114	2,44E+01	3,32E+01	0	0	200	2,013266	899	899	HBA Dual Inner	37	0	244	0,4517541896	179,8	629,3	42,65255556
422981	243269	2014LOFAROBS	Interferometer - 110-190 MHz				LofarStorageManager	0,1236112589	8,57E+01	4,99E+01	0	0	200	1,00139	119	119	HBA Dual	38	0	244	0,03213892731	23,8	83,3	5,645888889
426610	244433	Commissioning2014	Beam Observation - 110-190 MHz				LofarStorageManager	12,17818083	1.3367498505399999E+002,1.4969685464599999E+002,1.2834899180799999E+002,1.26196818179E+002,1.2872876663700001E+002,1.3576662543800001E+002,1.4024357702099999E+002,1.40400962808E+002,1.4030889583300001E+002,1.5313932583299999E+002,1.23400234121E+002	5.7958316397200001E+001,6.5565227227799994E+001,5.8417179144400002E+001,5.5878519247200003E+001,5.5572519527799997E+001,4.6851149266699998E+001,4.4698329169399997E+001,6.2264494530599997E+001,6.2903863888899998E+001,5.3117266388899999E+001,4.8217400727799998E+001	0,1,2,3,4,5,6,7,8,9,10	0	200	1,00139	14399	14399	HBA Dual Inner	44	8	176	3,166327017	1799,875	10439,275	510,3645556
436928	246865	LC2_036	Beam Observation - 10-90 MHz				LofarStorageManager	43,00005345	6.7795583333300002E+001,1.2340020833299999E+002	5.40988611111E+001,4.8217305555599999E+001	0,1	0	200	1,006633	15299	15299	LBA Outer	36	0	488	15,48001924	1912,375	11091,775	259,2330556
436933	246863	LC2_036	Beam Observation - 10-90 MHz				LofarStorageManager	45,38883035	6.7795583333300002E+001,1.2340020833299999E+002	5.40988611111E+001,4.8217305555599999E+001	0,1	0	200	1,006633	15299	15299	LBA Outer	37	0	488	16,33997893	1912,375	11091,775	259,2330556
436960	246861	LC2_036	Beam Observation - 10-90 MHz				LofarStorageManager	45,38873855	6.4223708333299996E+001,1.2340020833299999E+002	5.1723944444399997E+001,4.8217305555599999E+001	0,1	0	200	1,006633	15299	15299	LBA Outer	37	0	488	16,33994588	1912,375	11091,775	259,2330556
436970	246853	LC2_036	Beam Observation - 110-190 MHz				LofarStorageManager	1,737516114	8,57E+01	4,99E+01	0	0	200	2,013266	899	899	HBA Dual Inner	37	0	244	0,4517541896	179,8	629,3	42,65255556
